impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K22-144033,A658030,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A658030,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,English Spot,1 YEAR,Unknown,English Spot,White / Brown,"Feb 15, 2022",Received on,6000 block of  S 190TH ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A658030,Image Copyright HLP Inc. 2022,"Received on: 2022-02-15<p/> Found Near: 6000 block of  S 190TH ST<p/> Description: White / Brown Unknown English Spot English Spot<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-143210,A655997,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2380009,LOST,Yuki,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Brown,"Jan 10, 2022",Date Lost,BELLEVUE  WAY AND NE 29TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2380009,Image Copyright HLP Inc. 2022,"Description: Yuki is a dilute tortoise shell with dark greyish-brown and light orange patches. She is microchipped. She also has a bump on her left eye and a crooked toe on her back right paw. 16 years old, approximately 8.5lbs. <p/>Age: Over 1 year<p/>Location Lost: Bellevue Way and NE 29th st, Bellevue WA  98004<p/>Lost Date: 2022-01-10<p/>",
K22-143837,A657417,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2392429,LOST,Inky,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Black,"Feb 04, 2022",Date Lost,NE  24TH PLACE & 236TH AVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2392429,Image Copyright HLP Inc. 2022,"Description: Inky is all black and has a bald scab on the base of her neck near back.  Her face is round and she is very skiddish. Will run if approached with 2 hands. Meows when her name is called. <p/>Age: Over 1 year<p/>Location Lost: NE 24th Place & 236th Ave, Sammamish WA  98074<p/>Lost Date: 2022-02-04<p/>",
K22-144043,A658086,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2396957,LOST,Molly,Dog,Over 1 year<p/>,Female,Chihuahua - Smooth Coated,Unknown,"Feb 08, 2022",Date Lost,228TH  AND 212TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2396957,Image Copyright HLP Inc. 2022,"Description: She is 14 yrs old. Her color is Golden with grey around the muzzle and eyes. She is pretty scared when she isn’t with her mom. She loves treats. And is over all a great dog. But sometimes she can get nippy if she touched the wrong way. She belongs to my grandma her name Jacqueline. And she is 92. So it’s hard for her to get on any kind of social media. <p/>Age: Over 1 year<p/>Location Lost: 228th and 212th, Sammamish WA  98075<p/>Lost Date: 2022-02-08<p/>",
K22-143677,A657046,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389489,LOST,Mariposa,Dog,Over 1 year<p/>,Female,Chihuahua - Smooth Coated,Brown,"Jan 31, 2022",Date Lost,2900 block of  S 128TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389489,Image Copyright HLP Inc. 2022,"Description: She has white face ,she's a female she doesn't like the cold and she the color brown with a mix in her face of white<p/>Age: Over 1 year<p/>Location Lost: 2901 S 128th St, Tukwila, WA 98168, USA, Seattle WA  98168<p/>Lost Date: 2022-01-31<p/>",
K22-143758,A657220,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2391098,LOST,Cracker Jack,Cat,Unknown<p/>,Male,American Shorthair,Unknown,"Jan 26, 2022",Date Lost,19600 block of  GREENWOOD PL N,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2391098,Image Copyright HLP Inc. 2022,"Description: Orange and White male. 9 to 11 years old. (we had him 9 years) tear on right ear white on chest<p/>Age: Unknown<p/>Location Lost: 19614 Greenwood PL N, Seattle WA  98133<p/>Lost Date: 2022-01-26<p/>",
K22-143381,A656349,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2383723,In Public Home,,Dog,Under 1 year<p/>,Male,Pit Bull / Chinese Sharpei,Brown,"Jan 19, 2022",Date Found,100 block of  AVE NE NEAR NE 85TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2383723,Image Copyright HLP Inc. 2022,<p/>Age: Under 1 year<p/>Found Near: 100 block of  AVE NE NEAR NE 85TH ST<p/>Found Date: 2022-01-19<p/>,
K22-143640,A656990,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389056,LOST,Juniper,Dog,Over 1 year<p/>,Male,Greyhound,Brown,"Jan 30, 2022",Date Lost,100 block of  ST AND SYCAMORE AVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389056,Image Copyright HLP Inc. 2022,"Description: Greyhound/Redbone Coonhound mix, 3.5 y/o, ~60lbs, brown and white shorthair, white patch on chest, was not wearing his collar when he went missing, is micro-chipped<p/>Age: Over 1 year<p/>Location Lost: 70 St and Sycamore Ave, Seattle WA  98117<p/>Lost Date: 2022-01-30<p/>",
K22-143889,A657563,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A657563,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Baxter,Dog,2 YEARS,Neutered Male,Pit Bull / Mix,Tan / Bl Brindle,"Feb 08, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657563,Image Copyright HLP Inc. 2022,"Received on: 2022-02-08<p/> Description: Tan / Bl Brindle<p/>  Neutered Male Pit Bull / Mix Dog<p/> Age: 2 YEARS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Baxter and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on February 8, 2020.<p/><p/>I am an affectionate lovebug who would be thrilled to play with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have observed that I might not get along with other dogs. I may do best as the only dog in my new home, or I may need a very slow introduction to other dogs.<p/><p/>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>",GREEN
K22-144096,A658222,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,2 YEARS,Male,Domestic Shorthair,Brn Tabby,"Feb 18, 2022",Received on,12800 block of  SE KENT KANGLEY RD,KENT,WA,98030,KENT,,,,Image Copyright HLP Inc. 2022,Received on: 2022-02-18<p/> Found Near: 12800 block of  SE KENT KANGLEY RD<p/> Description: Brn Tabby Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/>,
K22-143796,A657329,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2391848,LOST,Littlebear,Cat,Over 1 year<p/>,Male,American Shorthair,Black,"Jan 22, 2022",Date Lost,1ST  AVE S & 4TH AVE S BETWEEN SW 116TH ST & SW 128TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2391848,Image Copyright HLP Inc. 2022,"Description: Tuxedo coloring. White paws ches and chin with small white spot on nose <p/>Age: Over 1 year<p/>Location Lost: 1st Ave S & 4th Ave s between sw 116th st & sw 128th st, Seattle WA  98146<p/>Lost Date: 2022-01-22<p/>",
K22-143970,A657829,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Tucker,Cat,3 YEARS,Neutered Male,Domestic Mediumhair,Black / White,"Feb 12, 2022",Received on,400 block of  OGLE AVE NE,NORTH BEND,WA,98045,NORTH BEND,47.496052,-121.777691,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657829,Image Copyright HLP Inc. 2022,Received on: 2022-02-12<p/> Found Near: 400 block of  OGLE AVE NE<p/> Description: Black / White Neutered Male Domestic Mediumhair Cat<p/> Age: 3 YEARS<p/> Current Location: In RASKC Foster Home <p/>,BLUE
K21-142066,A653498,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2357149,LOST,Bean,Dog,Under 1 year<p/>,Male,American Staffordshire,Unknown,"Nov 25, 2021",Date Lost,179TH 179TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2357149,Image Copyright HLP Inc. 2022,"Description: Tan in color, white on his chest, there is a little white on his toes. He is wearing a blue collar. He is 6 months old. He is not shipped yet and he is unaltered.<p/>Age: Under 1 year<p/>Location Lost: 179th, Monroe WA  98272<p/>Lost Date: 2032-11-23<p/>",
K22-144021,A657989,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A657989,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Max,Dog,4 YEARS,Neutered Male,Australian Cattle Dog / Mix,Blue Merle / Tan,"Feb 14, 2022",Received on,28800 block of  34TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657989,Image Copyright HLP Inc. 2022,"Received on: 2022-02-14<p/> Found Near: 28800 block of  34TH AVE S<p/> Description: Blue Merle / Tan Neutered Male Australian Cattle Dog / Mix Dog<p/> Age: 4 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-143600,A656922,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2388340,In Public Home,Steve,Dog,Over 1 year<p/>,Female,Labrador Retriever,Brown,"Jan 28, 2022",Date Found,1ST  AVE S AND S WASHINGTON,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2388340,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Found Near: 1st Ave S and S Washington , Seattle WA  98104<p/>Found Date: 2022-01-28<p/>",
K22-144047,A658105,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2397246,LOST,Katie,Dog,Under 1 year<p/>,Female,Pembroke Welsh Corgi,Unknown,"Feb 16, 2022",Date Lost,MILITARY  AND 210TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2397246,Image Copyright HLP Inc. 2022,"Description: tri color<p/>Age: Under 1 year<p/>Location Lost: Military and 210th, Seattle WA  98198<p/>Lost Date: 2022-02-16<p/>",
K22-144007,A657895,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2396034,LOST,Oreo,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Feb 10, 2022",Date Lost,9500 block of  212TH ST SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2396034,Image Copyright HLP Inc. 2022,"Description: Oreo is black with white has about a 4” tail that has a hooked end. Has a black spot (soul patch) on his chin green eyes <p/>Age: Over 1 year<p/>Location Lost: 9514 212th St SE, Snohomish WA  98296<p/>Lost Date: 2022-02-10<p/>",
K22-143890,A657565,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2393593,LOST,Moo,Cat,Over 1 year<p/>,Female,Domestic Mediumhair,Unknown,"Feb 02, 2022",Date Lost,EAST  LAKE JOY DR NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2393593,Image Copyright HLP Inc. 2022,"Description: Light Stripes on face and legs. No stripes on body. Top of tail is black. Her right eye has eye buggers ( like allergies).Is wearing a red collar with an watermelon on it and a little bell.<p/>Age: Over 1 year<p/>Location Lost: East Lake Joy DR NE, Carnation WA  98014<p/>Lost Date: 2022-02-02<p/>",
K22-144066,A653940,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A653940,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Bonnie,Cat,6 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby / White,"Feb 17, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A653940,Image Copyright HLP Inc. 2022,"Received on: 2022-02-17<p/> Description: Brn Tabby / White<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 6 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Bonnie and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on December 2, 2012.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>Current medical conditions are noted below.<p/><p/>1)   FeLV - This cat tested positive for Feline Leukemia Virus (FeLV).  Cats infected with this virus may have an active, or latent infection.  Active infection leads to immunosuppression, increased susceptibility to disease, or lymphosarcoma.  Infected cats are expected to have a decreased lifespan and will require additional veterinary care.  However, with care, these cat may have a good quality of life for months to years.  FeLV is transmitted to other cats through saliva and activities such as sharing water bowls, communal grooming and social contact.  For this reason, this cat should be kept as a single cat or with other FeLV positive cats.  Please consult with your regular veterinarian for additional information and a management plan for your new pet.<p/><p/>2)  FIV - This cat tested positive for Feline Immunodeficiency Virus. This test is not always accurate in cats under 6 months of age and may be a false positive. Retesting after 6 months of age is recommeneded.<p/><p/>FIV can cause immunosuppression and susceptibility to other diseases.  Symptoms are varied but may include fever, anorexia, weight loss, or stomatitis.  Not all infected cats will become ill, and those that do may be healthy for weeks to years before illness.  Cats infected with FIV will remain infected for life and can spread the virus to other cats, usually through bite wounds.  For this reason, FIV cats should be kept indoors only, and should only be housed with FIV positive cats or in situations where risk of transmission is unlikely.  Please consult with your regular veterinarian for additional information and a management plan for your new pet.<p/><p/><p/>",GREEN
K22-143653,A657017,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389328,LOST,Sid,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Jan 29, 2022",Date Lost,E  HIGHLAND DRIVE AND 39TH AVE EAST,SE,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389328,Image Copyright HLP Inc. 2022,"Description: White with Black.   Has a Large black horizontal tear drop shape mark on his right side.  He has a white nose, mouth and cheeks, which are fairly symmetric.  He has a red collar with a name tag, bell and bowtie.<p/>Age: Over 1 year<p/>Location Lost: E Highland Drive and 39th Ave East, Seattle, Seattle WA  98112<p/>Lost Date: 2022-01-29<p/>",
K22-143665,A657038,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389444,LOST,Willow,Dog,Over 1 year<p/>,Female,Australian Shepherd,Black,"Jan 30, 2022",Date Lost,MARYMOOR  PARK,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389444,Image Copyright HLP Inc. 2022,"Description: Brindle black, brown, white colored coat. Has silver prong collar but no tag<p/>Age: Over 1 year<p/>Location Lost: Marymoor park, Redmond WA  98052<p/>Lost Date: 2022-01-30<p/>",
K22-143855,A657458,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2392832,LOST,Mama Kitten,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,"Jan 15, 2022",Date Lost,200 block of  AND MILITARY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2392832,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Location Lost: 272 and Military, Kent WA  98032<p/>Lost Date: 2022-01-15<p/>",
K22-144090,A658204,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A658204,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,8 YEARS,Neutered Male,Chihuahua - Smooth Coated,Tan,"Feb 18, 2022",Received on,300 block of  BELLEVUE WAY NE,BELLEVUE,WA,98004,BELLEVUE,47.613078,-122.20092,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A658204,Image Copyright HLP Inc. 2022,"Received on: 2022-02-18<p/> Found Near: 300 block of  BELLEVUE WAY NE<p/> Description: Tan Neutered Male Chihuahua - Smooth Coated Dog<p/> Age: 8 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
